緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.878254,139.650696,埼玉県立浦和高等学校,埼玉県さいたま市浦和区領家５－３－３,浦和区,高等学校,公立,,,
35.852985,139.659515,埼玉県立浦和第一女子高等学校,埼玉県さいたま市浦和区岸町３－８－４５,浦和区,高等学校,公立,,,
35.888409,139.654541,埼玉県立浦和西高等学校,埼玉県さいたま市浦和区木崎３－１－１,浦和区,高等学校,公立,,,
35.899437,139.638,埼玉県立大宮高等学校,埼玉県さいたま市大宮区天沼町２ー３２３,大宮区,高等学校,公立,,,
35.950489,139.704269,埼玉県立岩槻商業高等学校,埼玉県さいたま市岩槻区太田１－４－１,岩槻区,高等学校,公立,,,
35.884277,139.61792,埼玉県立与野高等学校,埼玉県さいたま市中央区本町西２－８－１,中央区,高等学校,公立,,,
35.850399,139.651733,埼玉県立浦和商業高等学校,埼玉県さいたま市南区白幡２－１９－３９,南区,高等学校,公立,,,
35.927193,139.645187,埼玉県立大宮商業高等学校,埼玉県さいたま市見沼区大和田町１丁目３５６番地,見沼区,高等学校,公立,,,
35.85339,139.627991,埼玉県立浦和工業高等学校,埼玉県さいたま市桜区西堀５－１－１,桜区,高等学校,公立,,,
35.894234,139.612717,埼玉県立いずみ高等学校,埼玉県さいたま市中央区円阿弥７－４－１,中央区,高等学校,公立,,,
35.947704,139.628357,埼玉県立大宮工業高等学校,埼玉県さいたま市北区本郷町１９７０番地,北区,高等学校,公立,,,
35.941727,139.704559,埼玉県立岩槻高等学校,埼玉県さいたま市岩槻区城南１－３－３８,岩槻区,高等学校,公立,,,
35.870735,139.61319,埼玉県立常盤高等学校,埼玉県さいたま市桜区上大久保５１９－１,桜区,高等学校,公立,,,
35.909317,139.560532,埼玉県立大宮武蔵野高等学校,埼玉県さいたま市西区西遊馬１６０１,西区,高等学校,公立,,,
35.866837,139.594162,埼玉県立浦和北高等学校,埼玉県さいたま市桜区五関５９５,桜区,高等学校,公立,,,
35.927101,139.685806,埼玉県立大宮東高等学校,埼玉県さいたま市見沼区膝子５６７,見沼区,高等学校,公立,,,
35.977409,139.711212,埼玉県立岩槻北陵高等学校,埼玉県さいたま市岩槻区慈恩寺１１７－２,岩槻区,高等学校,公立,,,
35.88871,139.589767,埼玉県立大宮南高等学校,埼玉県さいたま市西区植田谷本７９３,西区,高等学校,公立,,,
35.908676,139.707336,埼玉県立浦和東高等学校,埼玉県さいたま市緑区寺山３６５,緑区,高等学校,公立,,,
35.894855,139.589508,埼玉県立大宮光陵高等学校,埼玉県さいたま市西区中野林１４５,西区,高等学校,公立,,,
35.919998,139.60997,埼玉県立大宮中央高等学校,埼玉県さいたま市北区櫛引町２－４９９－１,北区,高等学校,公立,,,
35.871677,139.656754,さいたま市立浦和高等学校,埼玉県さいたま市浦和区元町１－２８－１７,浦和区,高等学校,公立,,,
35.945126,139.600967,さいたま市立大宮北高等学校,埼玉県さいたま市北区奈良町９１－１,北区,高等学校,公立,,,
35.832825,139.656631,さいたま市立浦和南高等学校,埼玉県さいたま市南区辻６－５－３１,南区,高等学校,公立,,,
35.926434,139.579208,埼玉栄高等学校,埼玉県さいたま市西区西大宮３丁目１１番地１,西区,高等学校,私立,,,
35.912548,139.643799,大宮開成高等学校,埼玉県さいたま市大宮区堀の内町１－６１５,大宮区,高等学校,私立,,,
35.903755,139.626831,松栄学園高等学校大宮分校,埼玉県さいたま市大宮区下町１－３５,大宮区,高等学校,私立,,,
35.946171,139.633621,栄東高等学校,埼玉県さいたま市見沼区砂町２－７７,見沼区,高等学校,私立,,,
35.897133,139.627457,淑徳与野高等学校,埼玉県さいたま市中央区上落合５－１９－１８,中央区,高等学校,私立,,,
35.854122,139.663086,浦和麗明高等学校,埼玉県さいたま市浦和区東岸町１０－３６,浦和区,高等学校,私立,,,
35.83989,139.676956,浦和実業学園高等学校,埼玉県さいたま市南区文蔵３－９－１,南区,高等学校,私立,,,
35.869698,139.708038,浦和明の星女子高等学校,埼玉県さいたま市緑区東浦和６－４－１９,緑区,高等学校,私立,,,
35.90176,139.706039,浦和学院高等学校,埼玉県さいたま市緑区代山１７２,緑区,高等学校,私立,,,
35.887722,139.71698,青山学院大学系属浦和ルーテル学院高等学校,埼玉県さいたま市緑区大崎３６４２,緑区,高等学校,私立,,,
35.972153,139.714417,開智高等学校,埼玉県さいたま市岩槻区徳力１８６,岩槻区,高等学校,私立,,,
